year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,torque_nm,max_torque_rpm,brand
2017,28000,Petrol,Individual,Manual,First Owner,24.7,796,47.3,5,69.0,3500.0,Maruti
2013,70000,Diesel,Individual,Manual,First Owner,18.2,1248,73.8,7,172.5,1750.0,Chevrolet
2009,120000,Petrol,Individual,Manual,First Owner,18.9,1061,67.0,5,84.0,3500.0,Maruti
2018,25000,Petrol,Individual,Manual,First Owner,16.8,796,34.2,8,59.0,2500.0,Maruti
2017,70000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5,200.0,1750.0,Maruti
2003,50000,Petrol,Individual,Manual,Second Owner,19.369999,1248,81.86,5,160.0,3000.0,Fiat
2012,35000,Petrol,Individual,Manual,Second Owner,14.0,796,35.0,5,59.82,3000.0,Maruti
2017,16200,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5,200.0,1750.0,Maruti
2019,10000,CNG,Individual,Manual,Second Owner,33.44,796,40.3,4,60.0,3500.0,Maruti
2019,15000,Petrol,Individual,Manual,First Owner,23.95,998,67.1,5,90.0,3500.0,Maruti
2019,5000,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,5,151.0,4850.0,Hyundai
2016,42000,Petrol,Individual,Manual,First Owner,20.63,1198,67.0,5,104.0,4000.0,Datsun
2011,60000,Diesel,Individual,Manual,Second Owner,13.93,2179,138.03,7,320.0,2700.0,Tata
2012,76000,Petrol,Individual,Manual,First Owner,16.1,796,37.0,4,59.0,2500.0,Maruti
2019,5000,Petrol,Individual,Automatic,First Owner,16.0,1368,160.77,5,250.0,2500.0,Jeep
2018,28900,Petrol,Dealer,Manual,First Owner,17.8,1497,117.3,5,145.0,4600.0,Honda
2013,86300,Petrol,Dealer,Manual,First Owner,16.8,1497,116.3,5,146.0,4800.0,Honda
2018,32600,Diesel,Dealer,Manual,First Owner,24.3,1248,88.5,5,200.0,1750.0,Maruti
2018,10300,Petrol,Dealer,Manual,First Owner,23.95,998,67.05,5,90.0,3500.0,Maruti
2014,77000,Diesel,Dealer,Manual,First Owner,12.55,2982,168.5,7,343.0,3400.0,Toyota
2013,99000,Diesel,Dealer,Manual,First Owner,12.99,2494,100.0,7,200.0,3400.0,Toyota
2014,27800,Diesel,Dealer,Automatic,Second Owner,14.8,2143,120.7,5,200.0,4000.0,Mercedes-Benz
2015,49800,Diesel,Dealer,Manual,First Owner,24.7,1498,98.63,5,200.0,1750.0,Honda
2013,151000,Diesel,Dealer,Manual,First Owner,13.5,2477,175.56,7,400.0,2500.0,Mitsubishi
2015,54700,Diesel,Dealer,Manual,First Owner,26.0,1498,98.6,5,200.0,1750.0,Honda
2015,63000,Diesel,Dealer,Manual,First Owner,27.3,1498,98.6,5,200.0,1750.0,Honda
2016,127700,Diesel,Dealer,Automatic,Second Owner,11.36,2755,171.5,7,360.0,3400.0,Toyota
2016,99000,Diesel,Dealer,Manual,First Owner,12.99,2494,100.6,7,200.0,3600.0,Toyota
2013,33900,Diesel,Dealer,Automatic,Second Owner,17.68,1968,174.33,5,380.0,2500.0,Audi
2013,50000,Diesel,Dealer,Automatic,First Owner,18.53,1968,187.74,5,400.0,3000.0,Audi
2013,59000,Diesel,Dealer,Automatic,First Owner,14.84,2143,170.0,5,400.0,2800.0,Mercedes-Benz
2011,120000,Diesel,Individual,Manual,First Owner,21.12,1248,88.8,5,200.0,3000.0,Tata
2011,110000,Petrol,Individual,Manual,Third Owner,20.36,1197,78.9,5,111.7,4000.0,Hyundai
2013,60000,Diesel,Individual,Manual,First Owner,21.27,1396,88.76,5,219.6,2750.0,Hyundai
2015,147000,Diesel,Individual,Manual,Second Owner,26.59,1248,74.0,5,190.0,2000.0,Maruti
2017,25000,Petrol,Individual,Manual,Third Owner,18.16,1196,86.8,5,112.0,4000.0,Ford
2019,30000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5,115.0,4000.0,Maruti
2016,40000,Diesel,Individual,Manual,First Owner,22.0,1498,108.495,5,250.0,3000.0,Volkswagen
2015,135000,Diesel,Individual,Manual,First Owner,25.1,1498,98.6,5,200.0,1750.0,Honda
2018,30000,Petrol,Individual,Automatic,First Owner,20.51,998,67.0,5,90.0,3500.0,Maruti
2017,80000,Diesel,Individual,Manual,First Owner,21.66,1498,108.62,5,250.0,3000.0,Volkswagen
2019,9850,Diesel,Individual,Automatic,First Owner,24.3,1248,88.5,5,200.0,1750.0,Maruti
2016,70000,Diesel,Individual,Manual,First Owner,25.2,1248,74.0,5,190.0,2000.0,Maruti
2015,78000,Diesel,Individual,Manual,Second Owner,12.55,2982,168.5,7,343.0,3400.0,Toyota
2013,120000,Diesel,Individual,Manual,Second Owner,22.9,1248,74.0,5,190.0,2000.0,Maruti
2012,120000,Petrol,Individual,Manual,Second Owner,16.02,1373,93.7,7,130.0,4000.0,Maruti
2003,70000,Diesel,Individual,Manual,First Owner,19.369999,1248,81.86,5,160.0,3000.0,Tata
2013,170000,Diesel,Individual,Manual,First Owner,20.54,1598,103.6,5,250.0,2500.0,Volkswagen
2016,140000,Diesel,Individual,Manual,First Owner,12.99,2494,100.6,8,200.0,3600.0,Toyota
2015,90000,Diesel,Individual,Manual,First Owner,22.77,1498,98.59,5,205.0,3250.0,Ford
2016,30000,Petrol,Individual,Automatic,Second Owner,15.71,1998,189.0,5,280.0,4600.0,BMW
2017,10000,Petrol,Dealer,Manual,First Owner,23.1,998,67.04,5,90.0,3500.0,Maruti
2016,49000,Petrol,Dealer,Manual,First Owner,19.02,1198,67.05,5,104.0,4000.0,Datsun
2016,32000,Petrol,Dealer,Manual,First Owner,24.7,796,47.3,5,69.0,3500.0,Maruti
2016,38000,Petrol,Dealer,Manual,First Owner,24.7,796,47.3,5,69.0,3500.0,Maruti
2015,78000,Diesel,Dealer,Manual,First Owner,19.369999,1248,81.86,5,160.0,3000.0,Maruti
2012,28000,Petrol,Dealer,Manual,First Owner,19.81,1086,68.05,5,99.04,4500.0,Hyundai
2017,32000,Petrol,Dealer,Manual,First Owner,14.0,796,35.0,5,59.82,3000.0,Maruti
2010,44000,LPG,Dealer,Manual,First Owner,26.2,998,58.2,5,77.0,3500.0,Maruti
2015,42000,Petrol,Dealer,Manual,First Owner,16.47,1198,74.0,5,110.0,3750.0,Volkswagen
2015,45000,Petrol,Dealer,Manual,Second Owner,19.81,1086,68.05,5,99.04,4500.0,Hyundai
2012,12000,Petrol,Dealer,Manual,Second Owner,15.04,1598,103.6,5,153.0,3800.0,Volkswagen
2009,55500,Petrol,Dealer,Manual,First Owner,18.2,998,67.1,5,90.0,3500.0,Maruti
2013,61500,Petrol,Dealer,Manual,First Owner,18.5,1197,82.85,5,113.7,4000.0,Hyundai
2016,150000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,5,190.0,2000.0,Maruti
2016,72000,Petrol,Dealer,Automatic,First Owner,19.1,1197,82.0,5,114.0,4000.0,Hyundai
2008,68000,Petrol,Dealer,Manual,Third Owner,19.7,796,46.3,5,62.0,3000.0,Maruti
2017,110000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5,219.7,2750.0,Hyundai
2009,77000,Petrol,Dealer,Manual,Second Owner,21.79,998,67.05,5,90.0,3500.0,Maruti
2010,100000,Diesel,Individual,Manual,Second Owner,18.8,1248,90.0,5,200.0,3000.0,Tata
2019,10000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,5,113.0,4200.0,Maruti
2018,35000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5,115.0,4000.0,Maruti
2014,70000,Diesel,Individual,Automatic,Second Owner,11.79,2179,120.0,8,290.0,2800.0,Mahindra
2020,5000,Petrol,Individual,Manual,Second Owner,19.0,1194,94.68,5,120.0,4250.0,Ford
2017,37800,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,5,151.0,4850.0,Hyundai
2010,114000,Petrol,Individual,Manual,First Owner,14.3,1798,160.0,5,250.0,4500.0,Volkswagen
2019,32000,Diesel,Individual,Manual,First Owner,15.1,2179,155.0,7,360.0,2800.0,Mahindra
2016,100000,Diesel,Individual,Manual,First Owner,19.09,1405,69.01,5,135.0,2500.0,Tata
2013,150000,Diesel,Individual,Manual,Second Owner,22.32,1582,126.32,5,259.8,2750.0,Hyundai
2013,69000,Diesel,Individual,Manual,First Owner,21.9,1396,88.76,5,219.6,2750.0,Hyundai
2009,100000,Petrol,Individual,Manual,Second Owner,14.53,1798,138.1,5,173.0,4000.0,Toyota
2020,13000,Petrol,Individual,Manual,First Owner,21.63,998,67.04,5,90.0,3500.0,Maruti
2016,60000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5,200.0,1750.0,Maruti
2017,40000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5,115.0,4000.0,Maruti
2010,120000,Diesel,Individual,Manual,Second Owner,19.369999,1248,81.86,5,160.0,3000.0,Maruti
2014,70000,Diesel,Individual,Manual,Third Owner,20.45,1461,83.8,5,200.0,1900.0,Nissan
2016,50000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,5,259.9,2750.0,Hyundai
2012,175000,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248,73.9,5,190.0,2000.0,Maruti
2018,25000,Petrol,Individual,Manual,First Owner,23.01,999,67.0,5,91.0,4250.0,Renault
2015,40000,Petrol,Individual,Manual,Second Owner,23.1,998,67.04,5,90.0,3500.0,Maruti
2008,65000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796,46.3,5,62.0,3000.0,Maruti
2009,80000,Petrol,Individual,Manual,Second Owner,17.92,1086,62.1,5,96.1,3000.0,Hyundai
2015,110000,Diesel,Individual,Manual,Second Owner,20.77,1248,88.76,7,200.0,1750.0,Maruti
2019,1303,Petrol,Dealer,Manual,First Owner,17.8,1198,86.7,5,109.0,4500.0,Honda
2018,31800,Diesel,Dealer,Automatic,First Owner,17.01,1968,188.0,5,400.0,3000.0,Audi
2019,20000,Petrol,Dealer,Automatic,First Owner,22.37,2487,214.56,5,202.0,5200.0,Lexus
2017,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999,177.0,5,430.0,2500.0,Jaguar
2019,21000,Diesel,Dealer,Automatic,First Owner,12.83,1999,148.31,7,382.0,2250.0,Land
2017,37000,Diesel,Dealer,Automatic,First Owner,13.5,2987,254.79,5,620.0,2400.0,Mercedes-Benz
2018,29500,Diesel,Dealer,Automatic,First Owner,22.48,1995,187.74,5,400.0,2500.0,BMW
2017,27000,Diesel,Dealer,Automatic,First Owner,19.369999,1248,81.86,5,160.0,3000.0,BMW
2019,7500,Diesel,Dealer,Automatic,First Owner,16.78,1995,190.0,5,400.0,2500.0,BMW
2018,50000,Petrol,Dealer,Automatic,First Owner,14.67,1798,177.46,5,250.0,5000.0,Skoda
2016,35000,Diesel,Dealer,Automatic,First Owner,15.0,2143,204.0,5,500.0,1800.0,Mercedes-Benz
2019,19000,Petrol,Dealer,Automatic,First Owner,13.96,1451,141.0,5,250.0,3600.0,MG
2013,39000,Petrol,Dealer,Automatic,First Owner,14.28,1798,138.03,5,173.0,4000.0,Toyota
2018,22000,Diesel,Dealer,Automatic,First Owner,18.0,1969,190.0,5,400.0,3000.0,Volvo
2015,53000,Diesel,Dealer,Automatic,First Owner,12.07,2967,241.4,7,550.0,2750.0,Audi
2015,40000,Diesel,Dealer,Manual,First Owner,26.21,1248,88.5,5,200.0,1750.0,Maruti
2017,47000,Diesel,Dealer,Automatic,First Owner,13.5,2987,282.0,5,490.0,1600.0,Mercedes-Benz
2010,72200,Petrol,Dealer,Automatic,Second Owner,10.8,2497,150.0,5,250.0,2750.0,BMW
2017,9000,Diesel,Dealer,Automatic,First Owner,13.6,1999,177.0,5,430.0,2500.0,Jaguar
2018,11000,Petrol,Dealer,Manual,First Owner,17.0,1198,108.5,5,170.0,4000.0,Tata
2011,49000,Petrol,Individual,Manual,First Owner,15.04,1598,103.6,5,153.0,3800.0,Volkswagen
2012,95000,Petrol,Individual,Manual,First Owner,16.3,1797,147.5,5,177.5,4700.0,Hyundai
2016,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598,103.5,5,153.0,3800.0,Skoda
2018,18000,Petrol,Dealer,Automatic,First Owner,15.04,1991,183.0,5,300.0,4000.0,Mercedes-Benz
2017,16000,Petrol,Dealer,Automatic,First Owner,14.74,1991,181.04,5,300.0,1400.0,Mercedes-Benz
2017,18000,Petrol,Dealer,Automatic,First Owner,15.6,1497,116.3,5,146.0,4800.0,Honda
2019,9654,Petrol,Dealer,Automatic,First Owner,19.56,1197,81.8,5,113.0,4200.0,Toyota
2011,11000,Petrol,Dealer,Manual,First Owner,23.95,998,67.05,5,90.0,3500.0,Maruti
2012,24300,Petrol,Dealer,Manual,First Owner,21.21,1197,81.8,5,113.0,4200.0,Maruti
2018,8000,Diesel,Dealer,Automatic,First Owner,21.5,1497,108.5,5,260.0,2750.0,Tata
2016,30000,Diesel,Dealer,Automatic,First Owner,22.69,1995,190.0,5,400.0,2500.0,BMW
2016,41000,Petrol,Dealer,Automatic,First Owner,19.16,2494,157.7,5,213.0,4500.0,Toyota
2016,12000,Diesel,Dealer,Automatic,First Owner,18.12,1995,190.0,5,400.0,2500.0,BMW
2009,71000,Petrol,Dealer,Automatic,First Owner,12.1,2362,164.7,5,224.0,4000.0,Toyota
2016,20000,Petrol,Individual,Manual,First Owner,17.5,1373,91.1,7,130.0,4000.0,Maruti
2017,30000,Petrol,Individual,Automatic,First Owner,42.0,1969,400.0,4,640.0,1740.0,Volvo
2018,9500,Petrol,Individual,Manual,First Owner,18.16,1196,86.8,5,112.0,4000.0,Ford
2011,120000,Diesel,Individual,Manual,First Owner,20.0,1399,68.0,5,160.0,2000.0,Ford
2015,36600,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5,113.0,4200.0,Maruti
2015,50000,Petrol,Individual,Automatic,Second Owner,20.51,998,67.0,5,90.0,3500.0,Maruti
2016,14000,Petrol,Individual,Manual,Second Owner,18.6,1197,81.83,5,114.7,4000.0,Hyundai
1999,40000,Petrol,Individual,Manual,Second Owner,16.1,796,37.0,4,59.0,2500.0,Maruti
2010,120000,Diesel,Individual,Manual,First Owner,21.1,1248,73.9,5,113.0,4500.0,Maruti
2015,70000,Petrol,Individual,Manual,First Owner,18.9,1197,82.0,5,114.0,4000.0,Hyundai
2019,13000,Petrol,Individual,Manual,First Owner,19.44,999,75.0,5,95.0,4300.0,Volkswagen
2014,35000,Petrol,Individual,Manual,First Owner,19.1,1197,85.8,5,114.0,4000.0,Maruti
2016,44000,Petrol,Individual,Manual,Second Owner,19.1,1197,82.0,5,114.0,4000.0,Hyundai
2005,120000,Petrol,Individual,Manual,Second Owner,13.0,1493,100.0,5,128.47,4600.0,Honda
2010,60000,Diesel,Individual,Manual,First Owner,21.43,1364,87.2,5,205.0,2800.0,Toyota
2000,60000,Petrol,Individual,Manual,First Owner,18.5,796,53.0,5,71.0,3500.0,Daewoo
2014,30000,Diesel,Individual,Manual,Second Owner,13.0,2982,168.5,7,343.0,3400.0,Toyota
2016,15000,Petrol,Individual,Manual,Second Owner,18.15,1198,82.0,6,115.0,3600.0,Mahindra
2017,90000,Diesel,Individual,Manual,First Owner,22.95,1248,74.0,5,190.0,3000.0,Tata
2009,47000,Petrol,Individual,Manual,Second Owner,17.0,1497,118.0,5,146.0,4800.0,Honda
2005,90000,Petrol,Individual,Manual,First Owner,17.3,993,60.0,5,78.0,4500.0,Maruti
2005,86000,Petrol,Individual,Manual,First Owner,15.3,1341,83.0,5,115.0,3200.0,Hyundai
2017,37000,Diesel,Individual,Manual,First Owner,28.09,1248,88.5,5,200.0,1750.0,Maruti
2019,14000,Petrol,Individual,Manual,First Owner,20.3,1199,84.0,5,114.0,3500.0,Tata
2015,70000,Diesel,Individual,Manual,First Owner,20.77,1248,88.76,7,200.0,1750.0,Maruti
2012,120000,Diesel,Individual,Manual,First Owner,19.369999,1248,81.86,5,160.0,3000.0,Toyota
2015,50000,Petrol,Individual,Manual,First Owner,17.4,1497,117.3,5,145.0,4600.0,Honda
2016,50000,CNG,Individual,Manual,First Owner,26.6,998,58.16,5,77.0,3500.0,Maruti
2017,50000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5,115.0,4000.0,Maruti
2003,90000,Petrol,Individual,Manual,Second Owner,19.369999,1248,81.86,5,160.0,3000.0,Maruti
2018,35000,Petrol,Individual,Automatic,First Owner,20.51,998,67.0,5,90.0,3500.0,Maruti
2017,20000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,5,113.0,4200.0,Maruti
2018,7800,Petrol,Individual,Automatic,First Owner,22.0,1197,81.8,5,113.0,4200.0,Maruti
2017,20000,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5,113.0,4200.0,Maruti
2019,15000,Diesel,Individual,Manual,First Owner,17.6,2179,147.94,7,320.0,3000.0,Tata
2013,31377,Petrol,Individual,Manual,Second Owner,18.5,1197,82.85,5,113.7,4000.0,Hyundai
2018,50000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,5,190.0,2000.0,Maruti
2015,60000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5,90.0,3500.0,Maruti
2012,100000,Petrol,Individual,Automatic,First Owner,14.53,1794,138.1,5,173.0,4000.0,Toyota
2018,5000,Petrol,Individual,Automatic,First Owner,21.4,1197,83.1,5,115.0,4000.0,Maruti
2017,60000,Diesel,Individual,Manual,First Owner,14.1,2179,147.94,7,320.0,3000.0,Tata
2017,80000,Petrol,Individual,Manual,Second Owner,20.63,1198,67.0,5,104.0,4000.0,Datsun
2017,75000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5,200.0,1750.0,Maruti
2020,32000,Petrol,Individual,Manual,First Owner,20.14,1197,81.86,5,113.75,4000.0,Hyundai
2015,40000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5,69.0,3500.0,Maruti
2012,93000,Petrol,Individual,Manual,Second Owner,17.0,1197,80.0,5,160.0,3000.0,Hyundai
2018,60000,Petrol,Individual,Manual,First Owner,17.57,1193,88.7,5,140.0,4000.0,Tata
2008,120000,Petrol,Individual,Manual,Second Owner,19.369999,1248,81.86,5,160.0,3000.0,Maruti
2014,37000,Petrol,Individual,Manual,First Owner,16.95,1498,97.7,5,134.0,4000.0,Nissan
2018,15000,Petrol,Individual,Manual,First Owner,17.0,1497,121.36,5,150.0,4500.0,Ford
2016,140000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5,90.0,3500.0,Maruti
2013,70000,Diesel,Individual,Manual,First Owner,12.83,2696,162.0,7,340.0,3250.0,Mahindra
2013,120000,Diesel,Individual,Manual,Second Owner,17.21,1493,100.0,7,240.0,2800.0,Mahindra
2010,110000,Diesel,Individual,Manual,Second Owner,21.1,1248,73.9,5,190.0,2000.0,Maruti
2017,37000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,5,259.9,2750.0,Hyundai
2016,44000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5,72.0,4386.0,Renault
2015,80000,Diesel,Individual,Manual,First Owner,20.77,1248,88.76,7,200.0,1750.0,Maruti
2015,125000,Diesel,Individual,Manual,First Owner,15.1,2179,140.0,7,330.0,2800.0,Mahindra
2017,13500,Petrol,Individual,Manual,First Owner,15.37,1196,73.0,5,101.0,3000.0,Maruti
2011,75000,Petrol,Individual,Manual,First Owner,17.92,1086,62.1,5,96.1,3000.0,Hyundai
2007,120000,Petrol,Individual,Manual,Second Owner,13.2,1495,94.0,5,122.58,3500.0,Hyundai
2012,120000,Diesel,Individual,Manual,First Owner,15.1,2179,140.0,7,330.0,2800.0,Mahindra
2013,70000,Diesel,Individual,Manual,First Owner,12.99,2494,100.57,7,200.0,3400.0,Toyota
2013,70000,Diesel,Individual,Manual,First Owner,23.4,1248,74.0,5,190.0,2000.0,Maruti
2019,15000,Petrol,Individual,Automatic,First Owner,19.0,1199,88.76,5,110.0,4800.0,Honda
2009,53000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,5,111.8,4000.0,Hyundai
2014,120000,Diesel,Individual,Manual,Second Owner,23.4,1248,74.0,5,190.0,2000.0,Maruti
2016,70000,Diesel,Individual,Manual,First Owner,24.52,1248,88.5,7,200.0,1750.0,Maruti
2008,120000,Petrol,Individual,Manual,Second Owner,14.2,1341,82.9,5,115.72,3200.0,Hyundai
2012,100000,Petrol,Individual,Manual,Second Owner,18.5,1197,80.0,5,160.0,3000.0,Hyundai
2005,110000,Diesel,Individual,Manual,Second Owner,19.369999,1248,81.86,5,160.0,3000.0,Tata
2015,100000,Petrol,Individual,Manual,First Owner,20.4,1197,83.11,5,113.0,4200.0,Maruti
2013,162500,Diesel,Individual,Manual,First Owner,19.4,1405,70.0,5,135.4,2500.0,Tata
2017,39000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5,219.7,2750.0,Hyundai
2017,75000,Diesel,Individual,Manual,First Owner,26.8,1248,74.0,5,190.0,2000.0,Maruti
2017,50000,Diesel,Individual,Automatic,First Owner,17.6,2179,153.86,7,400.0,2500.0,Tata
2019,40000,Diesel,Individual,Manual,First Owner,17.3,1497,121.0,8,300.0,2500.0,Mahindra
2013,92500,Diesel,Individual,Manual,First Owner,22.32,1582,126.3,5,259.9,2750.0,Hyundai
2012,158000,Diesel,Individual,Manual,First Owner,23.4,1248,74.0,5,190.0,2000.0,Maruti
2012,120000,Diesel,Individual,Manual,First Owner,19.3,1248,73.9,5,190.0,2000.0,Maruti
2015,50000,Diesel,Individual,Manual,Second Owner,26.0,1498,98.6,5,200.0,1750.0,Honda
2012,110000,Diesel,Individual,Manual,First Owner,19.3,1248,73.9,5,190.0,2000.0,Maruti
2017,2000,Diesel,Individual,Manual,Second Owner,25.4,1186,73.97,5,190.25,2250.0,Hyundai
2016,70000,Diesel,Individual,Manual,First Owner,27.28,1047,69.0,5,140.0,3000.0,Tata
2013,90000,Petrol,Individual,Automatic,Second Owner,17.97,1498,99.6,5,134.0,4000.0,Nissan
2019,2000,Petrol,Individual,Manual,First Owner,18.6,1197,81.86,5,117.0,4000.0,Hyundai
2015,20000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5,115.0,4000.0,Maruti
2011,120000,Diesel,Individual,Manual,First Owner,12.8,2494,102.0,7,200.06,3400.0,Toyota
2017,35000,Diesel,Individual,Manual,First Owner,16.55,2498,105.0,6,247.0,2000.0,Mahindra
2012,193000,Diesel,Individual,Manual,First Owner,19.3,1248,73.9,5,190.0,2000.0,Maruti
2014,80000,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5,113.0,4200.0,Maruti
2019,40000,Petrol,Individual,Manual,First Owner,19.02,1198,67.05,5,104.0,4000.0,Datsun
2015,70000,Diesel,Individual,Manual,Fourth & Above Owner,22.54,1396,88.73,5,219.7,2750.0,Hyundai
2011,122358,Diesel,Individual,Manual,First Owner,12.05,2179,120.0,9,290.0,2800.0,Mahindra
2017,120000,Diesel,Individual,Manual,First Owner,27.28,1047,69.0,5,140.0,3000.0,Tata
2015,40000,Petrol,Individual,Manual,First Owner,17.57,1193,88.7,5,140.0,4000.0,Tata
2014,33033,Petrol,Dealer,Manual,First Owner,19.4,1198,86.8,5,109.0,4500.0,Honda
2015,63063,Petrol,Dealer,Automatic,First Owner,18.9,1197,82.0,5,114.0,4000.0,Hyundai
2012,60000,Diesel,Individual,Manual,First Owner,21.02,1248,88.76,5,200.0,3000.0,Tata
2005,45000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5,62.0,3000.0,Maruti
2007,207890,Diesel,Individual,Manual,Second Owner,13.6,2523,63.0,7,180.0,1500.0,Mahindra
2018,7976,Diesel,Individual,Automatic,First Owner,17.9,2143,170.0,5,400.0,2800.0,Mercedes-Benz
2016,35000,Petrol,Individual,Manual,First Owner,16.8,796,34.2,8,59.0,2500.0,Maruti
2017,35000,Petrol,Individual,Manual,First Owner,18.9,1197,82.0,5,114.0,4000.0,Hyundai
2013,50000,Petrol,Individual,Automatic,First Owner,16.95,1197,78.9,5,111.8,4000.0,Hyundai
2011,20000,Petrol,Individual,Automatic,First Owner,16.95,1197,78.9,5,111.8,4000.0,Hyundai
2012,50000,Petrol,Individual,Manual,Second Owner,18.6,1197,85.8,5,114.0,4000.0,Maruti
2014,120000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7,195.0,2200.0,Mahindra
2014,70000,Petrol,Individual,Manual,First Owner,17.1,1591,121.3,5,154.9,4200.0,Hyundai
2015,50000,Petrol,Individual,Manual,First Owner,17.19,1197,81.86,5,114.73,4000.0,Hyundai
2019,16500,Petrol,Individual,Manual,First Owner,21.01,1197,81.8,5,113.0,4200.0,Maruti
2010,70000,Petrol,Individual,Manual,First Owner,17.0,1197,80.0,5,160.0,3000.0,Hyundai
2005,99361,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5,62.0,3000.0,Maruti
2014,70000,Petrol,Individual,Manual,Second Owner,19.1,1197,85.8,5,114.0,4000.0,Maruti
2015,80000,Diesel,Individual,Manual,Second Owner,24.0,1120,70.0,5,160.0,2750.0,Hyundai
2010,70000,Petrol,Individual,Manual,Second Owner,19.369999,1248,81.86,5,160.0,3000.0,Maruti
2012,60000,Petrol,Individual,Manual,Third Owner,18.6,1199,79.4,5,108.0,4400.0,Chevrolet
